date,buybacks
"Sept. 30, 2018",18.76B
"June 30, 2018",20.78B
"March 31, 2018",22.43B
"Dec. 31, 2017",10.10B
"Sept. 30, 2017",7.514B
"June 30, 2017",7.092B
"March 31, 2017",6.888B
"Dec. 31, 2016",10.85B
"Sept. 30, 2016",5.778B
"June 30, 2016",10.17B
"March 31, 2016",6.421B
"Dec. 31, 2015",6.862B
"Sept. 30, 2015",13.03B
"June 30, 2015",9.985B
"March 31, 2015",6.741B
"Dec. 31, 2014",4.95B
"Sept. 30, 2014",16.70B
"June 30, 2014",4.906B
"March 31, 2014",17.76B
"Dec. 31, 2013",4.895B
"Sept. 30, 2013",4.715B
"June 30, 2013",15.94B
"March 31, 2013",-199.00M
"Dec. 31, 2012",1.874B
