gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,ajexq,curcdq,datacqtr,datafqtr,cshopq,epsf12,epsfi12,epsfxq,epspi12,prcraq,epsfxy,costat,mkvaltq,prccq,close,eps,dilutedpe
1690,12/31/2012,2013,1,INDL,C,D,STD,AAPL,7,USD,2012Q4,2013Q1,2.583,44.1,44.1,13.81,44.56,,13.81,A,499695.9844,532.1729,76.0247,6.3,12.0674126984127
1690,03/31/2013,2013,2,INDL,C,D,STD,AAPL,7,USD,2013Q1,2013Q2,,41.89,41.89,10.09,42.27,,23.9,A,416142.01,442.66,63.2371428571429,5.98428571428571,10.5671998090236
1690,06/30/2013,2013,3,INDL,C,D,STD,AAPL,7,USD,2013Q2,2013Q3,33.956,40.11,40.11,7.47,40.43,,31.44,A,360224.5063,396.53,56.6471428571429,5.73,9.8860633258539
1690,09/30/2013,2013,4,INDL,C,D,STD,AAPL,7,USD,2013Q3,2013Q4,10.438,39.75,39.75,8.26,40.03,479.01,39.75,A,428699.7978,476.75,68.1071428571429,5.67857142857143,11.9937106918239
1690,12/31/2013,2014,1,INDL,C,D,STD,AAPL,7,USD,2013Q4,2014Q1,9.55,40.32,40.32,14.5,40.57,523.51,14.5,A,500680.6159,561.02,80.1457142857143,5.76,13.9141865079365
1690,03/31/2014,2014,2,INDL,C,D,STD,AAPL,7,USD,2014Q1,2014Q2,31.712,41.89,41.89,11.62,42.13,,26.16,A,462533.0113,536.74,76.6771428571429,5.98428571428571,12.8130818811172
1690,06/30/2014,2014,3,INDL,C,D,STD,AAPL,1,USD,2014Q2,2014Q3,58.661,6.21,6.21,1.28,6.2471,85.23,5.03,A,556573.661,92.93,92.93,6.21,14.9645732689211
1690,09/30/2014,2014,4,INDL,C,D,STD,AAPL,1,USD,2014Q3,2014Q4,141.179,6.45,6.45,1.42,6.49,,6.45,A,591015.7208,100.75,100.75,6.45,15.6201550387597
1690,12/31/2014,2015,1,INDL,C,D,STD,AAPL,1,USD,2014Q4,2015Q1,54.054,7.42,7.42,3.06,7.47,,3.06,A,643120.1292,110.38,110.38,7.42,14.8760107816712
1690,03/31/2015,2015,2,INDL,C,D,STD,AAPL,1,USD,2015Q1,2015Q2,69.652,8.09,8.09,2.33,8.15,,5.39,A,717000.2515,124.43,124.43,8.09,15.380716934487
1690,06/30/2015,2015,3,INDL,C,D,STD,AAPL,1,USD,2015Q2,2015Q3,69.551,8.67,8.67,1.85,8.73,,7.25,A,715599.795,125.425,125.425,8.67,14.4665513264129
1690,09/30/2015,2015,4,INDL,C,D,STD,AAPL,1,USD,2015Q3,2015Q4,131.775,9.22,9.22,1.96,9.28,,9.22,A,615336.4559,110.3,110.3,9.22,11.9631236442516
1690,12/31/2015,2016,1,INDL,C,D,STD,AAPL,1,USD,2015Q4,2016Q1,46.366,9.42,9.42,3.28,9.47,,3.28,A,583612.7016,105.26,105.26,9.42,11.1740976645435
1690,03/31/2016,2016,2,INDL,C,D,STD,AAPL,1,USD,2016Q1,2016Q2,71.766,9,9,1.9,9.05,97.54,5.19,A,597095.8295,108.99,108.99,9,12.11
1690,06/30/2016,2016,3,INDL,C,D,STD,AAPL,1,USD,2016Q2,2016Q3,98.161,8.58,8.58,1.42,8.63,,6.62,A,515586.574,95.6,95.6,8.58,11.1421911421911
1690,09/30/2016,2016,4,INDL,C,D,STD,AAPL,1,USD,2016Q3,2016Q4,63.316,8.31,8.31,1.67,8.35,,8.31,A,603253.5663,113.05,113.05,8.31,13.604091456077
1690,12/31/2016,2017,1,INDL,C,D,STD,AAPL,1,USD,2016Q4,2017Q1,93.529,8.35,8.35,3.36,8.4,,3.36,A,608683.0919,115.82,115.82,8.35,13.8706586826347
1690,03/31/2017,2017,2,INDL,C,D,STD,AAPL,1,USD,2017Q1,2017Q2,54.94,8.55,8.55,2.1,8.61,,5.46,A,747867.3829,143.66,143.66,8.55,16.8023391812865
1690,06/30/2017,2017,3,INDL,C,D,STD,AAPL,1,USD,2017Q2,2017Q3,49.376,8.81,8.81,1.67,8.86,,7.14,A,744552.0036,144.02,144.02,8.81,16.3473325766175
1690,09/30/2017,2017,4,INDL,C,D,STD,AAPL,1,USD,2017Q3,2017Q4,48.652,9.21,9.21,2.07,9.27,,9.21,A,790050.0981,154.12,154.12,9.21,16.7339847991314
1690,12/31/2017,2018,1,INDL,C,D,STD,AAPL,1,USD,2017Q4,2018Q1,57.601,9.73,9.73,3.89,9.79,,3.89,A,859967.7987,169.23,169.23,9.73,17.3926002055498
1690,03/31/2018,2018,2,INDL,C,D,STD,AAPL,1,USD,2018Q1,2018Q2,142.707,10.37,10.37,2.73,10.45,171.48,6.63,A,829383.854,167.78,167.78,10.37,16.1793635486982
1690,06/30/2018,2018,3,INDL,C,D,STD,AAPL,1,USD,2018Q2,2018Q3,112.778,11.06,11.06,2.34,11.15,177.34,8.99,A,896472.3659,185.11,185.11,11.06,16.7368896925859
1690,09/30/2018,2018,4,INDL,C,D,STD,AAPL,1,USD,2018Q3,2018Q4,92.463,11.91,11.91,2.91,12.01,210.32,11.91,A,1073390.5396,225.74,225.74,11.91,18.9538203190596
