QUARTER END,OPERATING EPS,REPORTED EPS
6/29/18,US$38.65,US$34.05
3/29/18,US$36.54,US$33.02
12/29/17,US$33.85,US$26.96
9/30/17,US$31.33,US$28.45
6/30/17,US$30.51,US$27.01
3/31/17,US$28.82,US$27.46
12/31/16,US$27.90,US$24.16
9/30/16,US$28.69,US$25.39
6/30/16,US$25.70,US$23.28
3/31/16,US$23.97,US$21.72
12/31/15,US$23.06,US$18.70
9/30/15,US$25.44,US$23.22
6/30/15,US$26.14,US$22.80
3/31/15,US$25.81,US$21.81
12/31/14,US$26.76,US$22.83
9/30/14,US$29.60,US$27.47
6/30/14,US$29.34,US$27.14
3/31/14,US$27.32,US$24.87
12/31/13,US$28.25,US$26.48
9/30/13,US$26.92,US$24.63
6/30/13,US$26.36,US$24.87
3/31/13,US$25.77,US$24.22
12/31/12,US$23.15,US$20.65
9/30/12,US$24.00,US$21.21
6/30/12,US$25.43,US$21.62
3/31/12,US$24.24,US$23.03
12/31/11,US$23.73,US$20.64
9/30/11,US$25.29,US$22.63
6/30/11,US$24.86,US$22.24
3/31/11,US$22.56,US$21.44
12/31/10,US$21.93,US$20.67
9/30/10,US$21.56,US$19.52
6/30/10,US$20.90,US$19.68
3/31/10,US$19.38,US$17.48
12/31/09,US$17.16,US$15.18
9/30/09,US$15.78,US$14.76
6/30/09,US$13.81,US$13.51
3/31/09,US$10.11,US$7.52
12/31/08,-US$0.09,-US$23.25
9/30/08,US$15.96,US$9.73
6/30/08,US$17.02,US$12.86
3/31/08,US$16.62,US$15.54
12/31/07,US$15.22,US$7.82
9/30/07,US$20.87,US$15.15
6/30/07,US$24.06,US$21.88
3/31/07,US$22.39,US$21.33
12/31/06,US$21.99,US$20.24
9/30/06,US$23.03,US$21.47
6/30/06,US$21.95,US$20.11
3/31/06,US$20.75,US$19.69
12/31/05,US$20.19,US$17.30
9/30/05,US$18.84,US$17.39
6/30/05,US$19.42,US$18.29
3/31/05,US$18.00,US$16.85
12/31/04,US$17.95,US$13.94
9/30/04,US$16.88,US$14.18
6/30/04,US$16.98,US$15.25
3/31/04,US$15.87,US$15.18
12/31/03,US$14.88,US$13.16
9/30/03,US$14.41,US$12.56
6/30/03,US$12.92,US$11.10
3/31/03,US$12.48,US$11.92
12/31/02,US$11.94,US$3.00
9/30/02,US$11.61,US$8.53
6/30/02,US$11.64,US$6.87
3/31/02,US$10.85,US$9.19
