date,pretax,date2,posttax,efftaxrate,corporatetax
2000-01-01,639.732,2000-01-01,396.468,0.380,0.35
2000-04-01,622.995,2000-04-01,381.326,0.388,0.35
2000-07-01,591.600,2000-07-01,368.847,0.377,0.35
2000-10-01,549.303,2000-10-01,323.362,0.411,0.35
2001-01-01,558.022,2001-01-01,369.459,0.338,0.35
2001-04-01,564.309,2001-04-01,381.661,0.324,0.35
2001-07-01,522.929,2001-07-01,360.150,0.311,0.35
2001-10-01,435.684,2001-10-01,289.258,0.336,0.35
2002-01-01,527.024,2002-01-01,379.688,0.280,0.35
2002-04-01,604.271,2002-04-01,450.635,0.254,0.35
2002-07-01,658.474,2002-07-01,496.713,0.246,0.35
2002-10-01,737.311,2002-10-01,557.500,0.244,0.35
2003-01-01,777.059,2003-01-01,577.143,0.257,0.35
2003-04-01,767.192,2003-04-01,570.757,0.256,0.35
2003-07-01,825.761,2003-07-01,608.138,0.264,0.35
2003-10-01,874.778,2003-10-01,633.784,0.275,0.35
2004-01-01,975.621,2004-01-01,724.190,0.258,0.35
2004-04-01,1051.542,2004-04-01,779.939,0.258,0.35
2004-07-01,1097.757,2004-07-01,805.016,0.267,0.35
2004-10-01,1125.375,2004-10-01,827.004,0.265,0.35
2005-01-01,1382.178,2005-01-01,1006.367,0.272,0.35
2005-04-01,1396.399,2005-04-01,1032.361,0.261,0.35
2005-07-01,1428.590,2005-07-01,1058.288,0.259,0.35
2005-10-01,1550.727,2005-10-01,1141.600,0.264,0.35
2006-01-01,1578.877,2006-01-01,1157.214,0.267,0.35
2006-04-01,1619.617,2006-04-01,1186.689,0.267,0.35
2006-07-01,1662.501,2006-07-01,1210.954,0.272,0.35
2006-10-01,1556.771,2006-10-01,1141.188,0.267,0.35
2007-01-01,1473.455,2007-01-01,1054.531,0.284,0.35
2007-04-01,1506.617,2007-04-01,1093.007,0.275,0.35
2007-07-01,1361.772,2007-07-01,984.941,0.277,0.35
2007-10-01,1314.828,2007-10-01,955.851,0.273,0.35
2008-01-01,1158.328,2008-01-01,860.089,0.257,0.35
2008-04-01,1169.451,2008-04-01,883.989,0.244,0.35
2008-07-01,1073.630,2008-07-01,802.747,0.252,0.35
2008-10-01,555.051,2008-10-01,385.080,0.306,0.35
2009-01-01,910.685,2009-01-01,738.466,0.189,0.35
2009-04-01,1038.402,2009-04-01,842.837,0.188,0.35
2009-07-01,1184.019,2009-07-01,977.404,0.175,0.35
2009-10-01,1341.805,2009-10-01,1099.540,0.181,0.35
2010-01-01,1397.803,2010-01-01,1141.218,0.184,0.35
2010-04-01,1394.047,2010-04-01,1131.582,0.188,0.35
2010-07-01,1504.476,2010-07-01,1225.038,0.186,0.35
2010-10-01,1496.571,2010-10-01,1204.936,0.195,0.35
2011-01-01,1352.639,2011-01-01,1067.198,0.211,0.35
2011-04-01,1415.265,2011-04-01,1129.893,0.202,0.35
2011-07-01,1370.740,2011-07-01,1114.003,0.187,0.35
2011-10-01,1484.077,2011-10-01,1187.314,0.200,0.35
2012-01-01,1781.279,2012-01-01,1461.175,0.180,0.35
2012-04-01,1734.922,2012-04-01,1400.384,0.193,0.35
2012-07-01,1757.644,2012-07-01,1415.639,0.195,0.35
2012-10-01,1729.112,2012-10-01,1386.289,0.198,0.35
2013-01-01,1739.705,2013-01-01,1378.909,0.207,0.35
2013-04-01,1719.789,2013-04-01,1362.496,0.208,0.35
2013-07-01,1748.841,2013-07-01,1383.938,0.209,0.35
2013-10-01,1802.388,2013-10-01,1434.246,0.204,0.35
2014-01-01,1765.256,2014-01-01,1359.531,0.230,0.35
2014-04-01,1894.371,2014-04-01,1468.575,0.225,0.35
2014-07-01,1894.485,2014-07-01,1498.181,0.209,0.35
2014-10-01,1876.548,2014-10-01,1474.895,0.214,0.35
2015-01-01,1790.844,2015-01-01,1373.385,0.233,0.35
2015-04-01,1826.517,2015-04-01,1404.634,0.231,0.35
2015-07-01,1730.438,2015-07-01,1338.976,0.226,0.35
2015-10-01,1578.805,2015-10-01,1220.792,0.227,0.35
2016-01-01,1648.277,2016-01-01,1263.860,0.233,0.35
2016-04-01,1746.430,2016-04-01,1360.882,0.221,0.35
2016-07-01,1747.144,2016-07-01,1334.156,0.236,0.35
2016-10-01,1750.904,2016-10-01,1362.431,0.222,0.35
2017-01-01,1778.636,2017-01-01,1430.600,0.196,0.35
2017-04-01,1781.076,2017-04-01,1425.289,0.200,0.35
2017-07-01,1770.807,2017-07-01,1405.632,0.206,0.35
2017-10-01,1601.638,2017-10-01,1267.836,0.208,0.35
2018-01-01,1624.367,2018-01-01,1412.319,0.131,0.21
2018-04-01,1715.034,2018-04-01,1480.221,0.137,0.21
