date,pe,,,,,
2000-01-01,27.3692,,,,,
2000-02-01,26.8188,,,,,
2000-03-01,29.4128,,,,,
2000-04-01,27.9744,,,,,
2000-05-01,27.3613,,,,,
2000-06-01,28.0162,,,,,
2000-07-01,26.6449,,,,,
2000-08-01,28.2622,,,,,
2000-09-01,26.7507,,,,,
2000-10-01,28.588,,,,,
2000-11-01,26.299,,,,,
2000-12-01,26.4056,,,,,
2001-01-01,30.0618,,,,,
2001-02-01,27.2874,,,,,
2001-03-01,25.5354,,,,,
2001-04-01,33.9619,,,,,
2001-05-01,34.1348,,,,,
2001-06-01,33.2802,,,,,
2001-07-01,42.7845,,,,,
2001-08-01,40.0417,,,,,
2001-09-01,36.7693,,,,,
2001-10-01,42.9235,,,,,
2001-11-01,46.1503,,,,,
2001-12-01,46.4998,,,,,
2002-01-01,45.7571,,,,,
2002-02-01,44.8069,,,,,
2002-03-01,46.453,,,,,
2002-04-01,40.2737,,,,,
2002-05-01,39.908,,,,,
2002-06-01,37.0165,,,,,
2002-07-01,30.3469,,,,,
2002-08-01,30.495,,,,,
2002-09-01,27.1398,,,,,
2002-10-01,32.1044,,,,,
2002-11-01,33.9366,,,,,
2002-12-01,31.8891,,,,,
2003-01-01,28.2223,,,,,
2003-02-01,27.7424,,,,,
2003-03-01,27.9743,,,,,
2003-04-01,26.5389,,,,,
2003-05-01,27.8897,,,,,
2003-06-01,28.2055,,,,,
2003-07-01,25.669,,,,,
2003-08-01,26.1278,,,,,
2003-09-01,25.8157,,,,,
2003-10-01,21.5574,,,,,
2003-11-01,21.7111,,,,,
2003-12-01,22.8133,,,,,
2004-01-01,21.7525,,,,,
2004-02-01,22.0181,,,,,
2004-03-01,21.6579,,,,,
2004-04-01,19.7204,,,,,
2004-05-01,19.9587,,,,,
2004-06-01,20.3177,,,,,
2004-07-01,19.0708,,,,,
2004-08-01,19.1144,,,,,
2004-09-01,19.2934,,,,,
2004-10-01,19.3032,,,,,
2004-11-01,20.0482,,,,,
2004-12-01,20.6989,,,,,
2005-01-01,19.5834,,,,,
2005-02-01,19.9536,,,,,
2005-03-01,19.5721,,,,,
2005-04-01,18.2584,,,,,
2005-05-01,18.8052,,,,,
2005-06-01,18.8026,,,,,
2005-07-01,18.5396,,,,,
2005-08-01,18.3315,,,,,
2005-09-01,18.4589,,,,,
2005-10-01,17.2603,,,,,
2005-11-01,17.8676,,,,,
2005-12-01,17.8506,,,,,
2006-01-01,17.615,,,,,
2006-02-01,17.623,,,,,
2006-03-01,17.8185,,,,,
2006-04-01,17.5944,,,,,
2006-05-01,17.0505,,,,,
2006-06-01,17.052,,,,,
2006-07-01,16.2487,,,,,
2006-08-01,16.5944,,,,,
2006-09-01,17.002,,,,,
2006-10-01,16.9052,,,,,
2006-11-01,17.1835,,,,,
2006-12-01,17.4003,,,,,
2007-01-01,17.2969,,,,,
2007-02-01,16.9191,,,,,
2007-03-01,17.0879,,,,,
2007-04-01,17.4561,,,,,
2007-05-01,18.0243,,,,,
2007-06-01,17.7031,,,,,
2007-07-01,18.5149,,,,,
2007-08-01,18.7531,,,,,
2007-09-01,19.4243,,,,,
2007-10-01,23.4116,,,,,
2007-11-01,22.3805,,,,,
2007-12-01,22.1874,,,,,
2008-01-01,22.8275,,,,,
2008-02-01,22.0339,,,,,
2008-03-01,21.9026,,,,,
2008-04-01,26.9727,,,,,
2008-05-01,27.2607,,,,,
2008-06-01,24.9173,,,,,
2008-07-01,27.5817,,,,,
2008-08-01,27.918,,,,,
2008-09-01,25.3832,,,,,
2008-10-01,65.1042,,,,,
2008-11-01,60.2312,,,,,
2008-12-01,60.7023,,,,,
2009-01-01,120.3907,,,,,
2009-02-01,107.156,,,,,
2009-03-01,116.3076,,,,,
2009-04-01,116.2197,,,,,
2009-05-01,122.3888,,,,,
2009-06-01,122.4128,,,,,
2009-07-01,78.7464,,,,,
2009-08-01,81.3892,,,,,
2009-09-01,84.2967,,,,,
2009-10-01,20.3294,,,,,
2009-11-01,21.4956,,,,,
2009-12-01,21.8776,,,,,
2010-01-01,17.6247,,,,,
2010-02-01,18.1272,,,,,
2010-03-01,19.193,,,,,
2010-04-01,17.6854,,,,,
2010-05-01,16.2356,,,,,
2010-06-01,15.3608,,,,,
2010-07-01,15.3298,,,,,
2010-08-01,14.6024,,,,,
2010-09-01,15.8809,,,,,
2010-10-01,15.2975,,,,,
2010-11-01,15.2624,,,,,
2010-12-01,16.2591,,,,,
2011-01-01,15.8175,,,,,
2011-02-01,16.323,,,,,
2011-03-01,16.3059,,,,,
2011-04-01,16.2586,,,,,
2011-05-01,16.0391,,,,,
2011-06-01,15.7463,,,,,
2011-07-01,14.8572,,,,,
2011-08-01,14.0135,,,,,
2011-09-01,13.0078,,,,,
2011-10-01,14.414,,,,,
2011-11-01,14.3411,,,,,
2011-12-01,14.4635,,,,,
2012-01-01,14.8228,,,,,
2012-02-01,15.4244,,,,,
2012-03-01,15.9077,,,,,
2012-04-01,15.8998,,,,,
2012-05-01,14.9037,,,,,
2012-06-01,15.4932,,,,,
2012-07-01,15.9459,,,,,
2012-08-01,16.261,,,,,
2012-09-01,16.6551,,,,,
2012-10-01,16.3237,,,,,
2012-11-01,16.3701,,,,,
2012-12-01,16.4858,,,,,
2013-01-01,17.0822,,,,,
2013-02-01,17.2712,,,,,
2013-03-01,17.8927,,,,,
2013-04-01,17.5654,,,,,
2013-05-01,17.9301,,,,,
2013-06-01,17.6611,,,,,
2013-07-01,17.863,,,,,
2013-08-01,17.3039,,,,,
2013-09-01,17.8187,,,,,
2013-10-01,17.5303,,,,,
2013-11-01,18.0221,,,,,
2013-12-01,18.4467,,,,,
2014-01-01,17.6757,,,,,
2014-02-01,18.4378,,,,,
2014-03-01,18.5656,,,,,
2014-04-01,18.2695,,,,,
2014-05-01,18.6537,,,,,
2014-06-01,19.0092,,,,,
2014-07-01,18.2207,,,,,
2014-08-01,18.9069,,,,,
2014-09-01,18.6135,,,,,
2014-10-01,19.7249,,,,,
2014-11-01,20.2088,,,,,
2014-12-01,20.1241,,,,,
2015-01-01,20.1007,,,,,
2015-02-01,21.204,,,,,
2015-03-01,20.8352,,,,,
2015-04-01,21.9736,,,,,
2015-05-01,22.2041,,,,,
2015-06-01,21.7375,,,,,
2015-07-01,23.2058,,,,,
2015-08-01,21.7536,,,,,
2015-09-01,21.1784,,,,,
2015-10-01,24.0305,,,,,
2015-11-01,24.0426,,,,,
2015-12-01,23.6212,,,,,
