QUARTER END,OPERATING EARNINGS PER SHR,AS REPORTED EARNINGS PER SHR,CASH DIVIDENDS PER SHR,SALES PER SHARE,BOOK VAL PER SHARE,CAPITAL EXPENDITURE PER SHARE,PRICE,DIVISOR,QUARTER END BUYBACK,EQUAL QUARTER ENDS,MARKET VALUE $ BILLIONS,"OPERATING
EARNINGS
$ BILLIONS","AS REPORTED
EARNINGS
$ BILLIONS","DIVIDENDS
$ BILLIONS","BUYBACKS
$ BILLIONS","DIVIDEND 
YIELD","BUYBACK 
YIELD","DIVIDEND &
BUYBACK 
YIELD","DIVIDENDS
& BUYBACKS
$ BILLION",GAMMA
3/29/18,36.54,33.02,12.7939865689544,320.388020623241,833.441,17.235,"2,640.87",8518.41,3/29/18,TRUE,"22,495.9746078924",311.262637022295,281.277840023979,109.18251022622,189.051476,0.02,0.03,0.04,298.23398622622,0.00840379131356565
12/29/17,33.85,26.96,12.7829239793627,329.593203077623,826.521,18.617,"2,673.61",8535.74,12/29/17,TRUE,"22,821.2403340904",288.934748954501,230.123510541014,109.455859100602,136.969156,0.02,0.02,0.04,246.425015100602,0.00600182785838312
9/30/17,31.33,28.45,12.3107967462216,308.222061929525,817.822,16.326,"2,519.36",8565.26,9/29/17,FALSE,"21,578.9759096366",268.349661538173,243.681706695213,105.445200769672,129.169583,0.02,0.02,0.04,234.614783769672,0.00598589958767766
6/30/17,30.51,27.01,12.1153222940344,300.98034948899,798.644,15.232,"2,423.41",8567.3,6/30/17,TRUE,"20,762.0618002665",261.388207273715,231.402670549428,104.009510336024,120.109018,0.02,0.02,0.04,224.118528336024,0.0057850236241209
3/31/17,28.82,27.46,11.7229763159889,292.779061972162,785.179,13.923,"2,362.72",8581.63,3/31/17,TRUE,"20,275.9743671553",247.322586424698,235.651569161076,100.86231411618,133.14968,0.02,0.03,0.04,234.01199411618,0.00656686961568104
12/31/16,27.9,24.16,12.0240076218166,301.115512134547,768.985,20.151,"2,238.83",8606.26,12/31/16,TRUE,"19,267.9329354346",240.114758900685,207.927332438729,103.81553240227,135.292077,0.02,0.03,0.05,239.10760940227,0.00702161863721206
9/30/16,28.69,25.39,11.3567131877979,290.936833587164,779.614,15.146,"2,168.27",8643.59,9/30/16,TRUE,"18,741.6468636071",247.984490086222,219.460655395231,98.4268402524,112.203074,0.02,0.03,0.05,210.6299142524,0.00598683108355211
6/30/16,25.7,23.28,11.2787267260388,284.59270983318,765.123,15.311,"2,098.86",8667.94,6/30/16,TRUE,"18,192.7517024556",222.766064494853,201.789649083276,98.3046098968395,127.5013,0.02,0.03,0.05,225.805909896839,0.00700835706908429
3/31/16,23.97,21.72,11.0411559496446,274.030428019571,752.771,14.475,"2,059.74",8718.72,3/31/16,TRUE,"17,958.2970397558",208.98760724552,189.370497679295,96.666415752075,161.385243,0.02,0.03,0.05,258.051658752075,0.00898666742412868
12/31/15,23.06,18.7,11.3490954442614,288.874680188141,740.287,18.097,"2,043.94",8757.39,12/31/15,TRUE,"17,899.5562447142",201.945458562644,163.763229623653,99.388477179644,145.880787,0.02,0.03,0.05,245.269264179644,0.00814996668104993
